投稿日,時刻,場,R,モード,締切,買い目,結果(3連単),的中,配当(円),倍率
2026-09-21,17:10,丸亀,8,堅い,18:33,1-4-2 / 1-4-5 / 1-4-6 / 1-5-2 / 1-5-4 / 1-5-6 / 1-6-2 / 1-6-4 / 1-6-5,1-3-4,×,800,
2026-09-21,18:21,桐生,9,堅い,19:14,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-4-2 / 1-4-3 / 1-4-6,3-1-2,×,3230,
2026-09-22,10:14,津,4,中穴,11:57,1-2-3 / 1-2-4 / 1-3-2 / 1-3-4 / 2-1-3 / 2-1-4 / 2-3-1 / 2-3-4,,,,
2026-09-22,11:36,浜名湖,4,堅い,12:47,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,1-3-2,的中,810,8.1
2026-09-22,12:53,三国,12,堅い,14:11,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,1-2-6,×,5080,
2026-09-22,15:05,戸田,11,堅い,15:55,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,5-2-4,×,69740,
2026-09-22,16:29,住之江,7,堅い,18:04,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-6-2 / 1-6-3 / 1-6-4,1-2-6,的中,860,8.6
2026-09-22,17:23,桐生,7,堅い,18:14,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-5-2 / 1-5-3 / 1-5-4,3-5-1,×,3670,
2026-09-22,18:19,住之江,10,堅い,19:33,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,1-2-4,的中,980,9.8
2026-09-23,10:14,津,4,中穴,11:57,1-2-3 / 1-2-4 / 1-3-2 / 1-3-4 / 2-1-3 / 2-1-4 / 2-3-1 / 2-3-4,5-2-4,×,43400,
2026-09-23,11:36,びわこ,5,堅い,12:23,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-4-2 / 1-4-3 / 1-4-6,1-2-5,×,2620,
2026-09-23,12:53,三国,12,堅い,14:11,1-2-3 / 1-2-5 / 1-2-6 / 1-3-2 / 1-3-5 / 1-3-6 / 1-5-2 / 1-5-3 / 1-5-6,1-5-2,的中,2170,21.7
2026-09-23,14:57,びわこ,11,堅い,15:38,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-6-2 / 1-6-3 / 1-6-4,1-2-3,的中,990,9.9
2026-09-23,16:29,桐生,6,堅い,17:44,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-5-2 / 1-5-3 / 1-5-4,3-5-1,×,5600,
2026-09-23,17:25,桐生,8,堅い,18:45,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,1-5-4,×,1400,
2026-09-23,18:20,桐生,9,堅い,19:14,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-4-2 / 1-4-3 / 1-4-6,1-3-2,的中,4100,41.0
2026-09-24,10:14,津,3,中穴,11:28,1-2-3 / 1-2-4 / 1-3-2 / 1-3-4 / 3-1-2 / 3-1-4 / 3-2-1 / 3-2-4,3-1-5,×,3220,
2026-09-24,11:36,尼崎,6,堅い,12:51,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-4-2 / 1-4-3 / 1-4-6,1-2-4,的中,680,6.8
2026-09-24,12:53,尼崎,8,堅い,13:58,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-4-2 / 1-4-3 / 1-4-6,1-2-4,的中,570,5.7
2026-09-24,15:05,津,12,堅い,16:20,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,1-4-3,的中,1220,12.2
2026-09-24,16:29,下関,5,堅い,17:03,1-2-3 / 1-2-4 / 1-2-6 / 1-3-2 / 1-3-4 / 1-3-6 / 1-4-2 / 1-4-3 / 1-4-6,2-3-1,×,36990,
2026-09-24,17:17,若松,7,堅い,17:53,1-2-3 / 1-2-4 / 1-2-5 / 1-4-2 / 1-4-3 / 1-4-5 / 1-5-2 / 1-5-3 / 1-5-4,5-4-1,×,4980,
2026-09-24,18:20,若松,10,堅い,19:28,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,3-1-2,×,6430,
2026-09-25,10:14,徳山,8,中穴,12:03,1-3-4 / 1-3-6 / 1-4-3 / 1-4-6 / 3-1-4 / 3-1-6 / 3-4-1 / 3-4-6,1-4-3,的中,1280,12.8
2026-09-25,11:36,徳山,9,堅い,12:36,1-2-3 / 1-2-4 / 1-2-5 / 1-3-2 / 1-3-4 / 1-3-5 / 1-4-2 / 1-4-3 / 1-4-5,,,,
